turn,guess,entropy,aspce_old,aspce_new,p,answer
2,linty,3.93618,23,1,0,basin
3,basin,3.93618,1,1,0,basin
2,linty,3.93618,23,3,0,basis
3,amiss,1.58496,3,1,0.333333,basis
4,basis,1.58496,1,1,0.333333,basis
2,thump,3.13957,15,3,0,baste
3,abaca,1.58496,3,1,0,baste
4,baste,1.58496,1,1,0,baste
2,clint,5.17137,138,6,0,batch
3,bumph,2.25163,6,1,0,batch
4,batch,2.25163,1,1,0,batch
2,gault,4.01177,40,1,0,bathe
3,bathe,4.01177,1,1,0,bathe
2,cloot,4.40569,44,2,0,baton
3,baton,1,2,1,0.5,baton
2,clint,5.17137,138,7,0,batty
3,baffy,2.52164,7,1,0,batty
4,batty,2.52164,1,1,0,batty
2,clint,5.17137,138,15,0,bawdy
3,midgy,3.64022,15,1,0,bawdy
4,bawdy,3.64022,1,1,0,bawdy
2,cloot,4.40569,44,5,0,bayou
3,annoy,2.32193,5,1,0.2,bayou
4,bayou,2.32193,1,1,0.2,bayou
2,depth,3.74899,21,2,0,beach
3,beach,1,2,1,0.5,beach
2,depth,3.74899,21,1,0,beady
3,beady,3.74899,1,1,0,beady
2,lathy,2.9477,9,2,0,beard
3,beard,1,2,1,0.5,beard
2,bufty,2.32193,5,1,0,beast
3,beast,2.32193,1,1,0,beast
2,teind,5.12671,120,13,0,beech
3,belly,3.39275,13,1,0.0769231,beech
4,beech,3.39275,1,1,0.0769231,beech
2,teind,5.12671,120,13,0,beefy
3,belly,3.39275,13,1,0.0769231,beefy
4,beefy,3.39275,1,1,0.0769231,beefy
2,teind,5.12671,120,1,0,befit
3,befit,5.12671,1,1,0,befit
2,natal,4.53708,68,4,0,began
3,began,2,4,1,0.25,began
2,natal,4.53708,68,4,0,begat
3,cheat,2,4,1,0.25,begat
4,begat,2,1,1,0.25,begat
2,teind,5.12671,120,7,0,beget
3,aptly,2.80735,7,1,0,beget
4,beget,2.80735,1,1,0,beget
2,teind,5.12671,120,1,0,begin
3,begin,5.12671,1,1,0,begin
2,teind,5.12671,120,4,0,begun
3,bench,2,4,1,0.25,begun
4,begun,2,1,1,0.25,begun
2,teind,5.12671,120,1,0,being
3,being,5.12671,1,1,0,being
2,teind,5.12671,120,13,0,belch
3,belly,3.39275,13,1,0.0769231,belch
4,belch,3.39275,1,1,0.0769231,belch
2,guilt,5.06772,79,1,0,belie
3,belie,5.06772,1,1,0,belie
2,guilt,5.06772,79,2,0,belle
3,belle,1,2,1,0.5,belle
2,teind,5.12671,120,13,0,belly
3,belly,3.39275,13,1,0.0769231,belly
2,lento,4.00386,25,1,0,below
3,below,4.00386,1,1,0,below
2,teind,5.12671,120,4,0,bench
3,bench,2,4,1,0.25,bench
2,tined,4.38699,117,6,0,beret
3,beech,2.58496,6,1,0,beret
4,beret,2.58496,1,1,0,beret
2,delft,3.37878,14,2,0,berry
3,berry,1,2,1,0.5,berry
2,tined,4.38699,117,7,0,berth
3,crept,2.80735,7,1,0.142857,berth
4,berth,2.80735,1,1,0.142857,berth
2,teugh,3.78714,19,2,0,beset
3,beset,1,2,1,0.5,beset
2,teind,5.12671,120,7,0,betel
3,aptly,2.80735,7,1,0,betel
4,betel,2.80735,1,1,0,betel
2,teind,5.12671,120,13,0,bevel
3,belly,3.39275,13,2,0.0769231,bevel
4,bevel,1,2,1,0.5,bevel
2,teind,5.12671,120,13,0,bezel
3,belly,3.39275,13,2,0.0769231,bezel
4,bevel,1,2,1,0.5,bezel
5,bezel,1,1,1,0.5,bezel
2,guilt,5.06772,79,1,0,bible
3,bible,5.06772,1,1,0,bible
2,teind,5.12671,120,5,0,bicep
3,bicep,2.32193,5,1,0.2,bicep
2,clint,5.5085,183,10,0,biddy
3,fudgy,3.12193,10,1,0,biddy
4,biddy,3.12193,1,1,0,biddy
2,clint,4.88754,56,2,0,bigot
3,bigot,1,2,1,0.5,bigot
2,guilt,5.06772,79,2,0,bilge
3,bilge,1,2,1,0.5,bilge
2,clint,5.5085,183,14,0,billy
3,dampy,3.09307,14,4,0,billy
4,fowth,2,4,1,0,billy
5,billy,2,1,1,0,billy
2,guilt,5.06772,79,3,0,binge
3,binge,1.58496,3,1,0.333333,binge
2,clint,4.88754,56,3,0,bingo
3,bingo,1.58496,3,1,0.333333,bingo
2,bling,3.78418,20,1,0,biome
3,biome,3.78418,1,1,0,biome
2,glint,4.65581,57,2,0,birch
3,birch,1,2,1,0.5,birch
2,glint,4.65581,57,3,0,birth
3,birth,1.58496,3,1,0.333333,birth
2,agloo,2.80735,7,1,0,bison
3,bison,2.80735,1,1,0,bison
2,clint,5.5085,183,9,0,bitty
3,ditty,2.6416,9,3,0.111111,bitty
4,aback,1.58496,3,1,0,bitty
5,bitty,1.58496,1,1,0,bitty
2,clink,4.59644,40,2,0,black
3,black,1,2,1,0.5,black
2,glitz,3.18201,28,6,0,blade
3,abamp,2.25163,6,1,0,blade
4,blade,2.25163,1,1,0,blade
2,glitz,3.18201,28,6,0,blame
3,abamp,2.25163,6,1,0,blame
4,blame,2.25163,1,1,0,blame
2,clink,4.59644,40,3,0,bland
3,bland,1.58496,3,1,0.333333,bland
2,clink,4.59644,40,3,0,blank
3,abaft,1.58496,3,1,0,blank
4,blank,1.58496,1,1,0,blank
2,abaft,2,4,1,0,blare
3,blare,2,1,1,0,blare
2,chals,3.32486,14,2,0,blast
3,blast,1,2,1,0.5,blast
2,glitz,3.18201,28,1,0,blaze
3,blaze,3.18201,1,1,0,blaze
2,natal,4.53708,68,4,0,bleak
3,abamp,2,4,1,0,bleak
4,bleak,2,1,1,0,bleak
2,natal,4.53708,68,4,0,bleat
3,acerb,2,4,1,0,bleat
4,bleat,2,1,1,0,bleat
2,teind,5.12671,120,3,0,bleed
3,bleed,1.58496,3,1,0.333333,bleed
2,teind,5.12671,120,10,0,bleep
3,excel,3.32193,10,1,0.1,bleep
4,bleep,3.32193,1,1,0.1,bleep
2,teind,5.12671,120,1,0,blend
3,blend,5.12671,1,1,0,blend
2,teugh,3.78714,19,1,0,bless
3,bless,3.78714,1,1,0,bless
2,clint,5.5085,183,1,0,blimp
3,blimp,5.5085,1,1,0,blimp
2,clint,5.5085,183,3,0,blind
3,blind,1.58496,3,1,0.333333,blind
2,clint,5.5085,183,3,0,blink
3,blind,1.58496,3,1,0.333333,blink
4,blink,1.58496,1,1,0.333333,blink
2,mythi,4.2485,33,3,0,bliss
3,bliss,1.58496,3,1,0.333333,bliss
2,clint,5.5085,183,1,0,blitz
3,blitz,5.5085,1,1,0,blitz
2,cloot,4.40569,44,4,0,bloat
3,abaft,2,4,1,0,bloat
4,bloat,2,1,1,0,bloat
2,clint,4.88754,56,2,0,block
3,block,1,2,1,0.5,block
2,bling,3.78418,20,1,0,bloke
3,bloke,3.78418,1,1,0,bloke
2,clint,4.88754,56,1,0,blond
3,blond,4.88754,1,1,0,blond
2,clint,4.88754,56,4,0,blood
3,blood,2,4,1,0.25,blood
2,clint,4.88754,56,4,0,bloom
3,blood,2,4,1,0.25,bloom
4,bloom,2,1,1,0.25,bloom
2,clint,4.88754,56,2,0,blown
3,blown,1,2,1,0.5,blown
2,tined,4.38699,117,25,0,bluer
3,flump,3.75327,25,1,0,bluer
4,bluer,3.75327,1,1,0,bluer
2,clint,5.5085,183,5,0,bluff
3,bluff,2.32193,5,1,0.2,bluff
2,clint,5.5085,183,1,0,blunt
3,blunt,5.5085,1,1,0,blunt
2,fitch,3.70044,13,1,0,blurb
3,blurb,3.70044,1,1,0,blurb
2,fitch,3.70044,13,1,0,blurt
3,blurt,3.70044,1,1,0,blurt
2,mythi,4.2485,33,3,0,blush
3,abaft,1.58496,3,1,0,blush
4,blush,1.58496,1,1,0,blush
2,board,1,2,1,0.5,board
2,abaca,1.58496,3,1,0,boast
3,boast,1.58496,1,1,0,boast
2,culty,4.44757,87,15,0,bobby
3,dhobi,3.00624,15,1,0,bobby
4,bobby,3.00624,1,1,0,bobby
2,meynt,3.53257,26,2,0,boney
3,boney,1,2,1,0.5,boney
2,culty,4.44757,87,3,0,bongo
3,doing,1.58496,3,1,0.333333,bongo
4,bongo,1.58496,1,1,0.333333,bongo
2,jumby,3.45656,15,1,0,bonus
3,bonus,3.45656,1,1,0,bonus
2,culty,4.44757,87,15,0,booby
3,dhobi,3.00624,15,1,0,booby
4,booby,3.00624,1,1,0,booby
2,jumby,3.45656,15,1,0,boost
3,boost,3.45656,1,1,0,boost
2,culty,4.44757,87,4,0,booth
3,booth,2,4,1,0.25,booth
2,culty,4.44757,87,1,0,booty
3,booty,4.44757,1,1,0,booty
2,cloud,3.32193,10,1,0,booze
3,booze,3.32193,1,1,0,booze
2,culty,4.44757,87,15,0,boozy
3,dhobi,3.00624,15,1,0,boozy
4,boozy,3.00624,1,1,0,boozy
2,balmy,3,8,1,0,borax
3,borax,3,1,1,0,borax
2,faugh,2.9477,9,1,0,borne
3,borne,2.9477,1,1,0,borne
2,jumby,3.45656,15,1,0,bosom
3,bosom,3.45656,1,1,0,bosom
2,jumby,3.45656,15,1,0,bossy
3,bossy,3.45656,1,1,0,bossy
2,culty,4.44757,87,5,0,botch
3,apian,2.32193,5,1,0,botch
4,botch,2.32193,1,1,0,botch
2,culty,4.44757,87,8,0,bough
3,bumph,2.75,8,1,0,bough
4,bough,2.75,1,1,0,bough
2,cloud,3.32193,10,1,0,boule
3,boule,3.32193,1,1,0,boule
2,culty,4.44757,87,8,0,bound
3,bumph,2.75,8,1,0,bound
4,bound,2.75,1,1,0,bound
2,meynt,3.53257,26,4,0,bowel
3,advew,2,4,1,0,bowel
4,bowel,2,1,1,0,bowel
2,rewth,2.49197,22,9,0,boxer
3,black,2.19716,9,1,0,boxer
4,boxer,2.19716,1,1,0,boxer
2,diact,2.97084,19,2,0,brace
3,brace,1,2,1,0.5,brace
2,clint,4.27507,40,1,0,braid
3,braid,4.27507,1,1,0,braid
2,clint,4.27507,40,3,0,brain
3,aband,1.58496,3,1,0,brain
4,brain,1.58496,1,1,0,brain
2,diact,2.97084,19,6,0,brake
3,abamp,1.9183,6,2,0,brake
4,brake,1,2,1,0.5,brake
2,clint,4.27507,40,5,0,brand
3,bifid,2.32193,5,1,0,brand
4,brand,2.32193,1,1,0,brand
2,bachs,2.80735,7,1,0,brash
3,brash,2.80735,1,1,0,brash
2,bachs,2.80735,7,1,0,brass
3,brass,2.80735,1,1,0,brass
2,diact,2.97084,19,6,0,brave
3,abamp,1.9183,6,2,0,brave
4,brake,1,2,1,0.5,brave
5,brave,1,1,1,0.5,brave
2,bravo,1,1,1,0.5,bravo
2,clint,4.27507,40,2,0,brawl
3,brawl,1,2,1,0.5,brawl
2,clint,4.27507,40,3,0,brawn
3,abamp,1.58496,3,1,0,brawn
4,brawn,1.58496,1,1,0,brawn
2,talar,3.69415,61,11,0,bread
3,brack,3.0958,11,1,0,bread
4,bread,3.0958,1,1,0,bread
2,talar,3.69415,61,11,0,break
3,brack,3.0958,11,1,0,break
4,break,3.0958,1,1,0,break
2,tined,4.38699,117,4,0,breed
3,befog,2,4,1,0,breed
4,breed,2,1,1,0,breed
2,riyal,4.22281,42,3,0,briar
3,briar,1.58496,3,1,0.333333,briar
2,pudic,4.0055,39,7,0,bribe
3,tribe,2.80735,7,1,0.142857,bribe
4,bribe,2.80735,1,1,0.142857,bribe
2,glint,4.65581,57,5,0,brick
3,crimp,2.32193,5,1,0.2,brick
4,brick,2.32193,1,1,0.2,brick
2,pudic,4.0055,39,3,0,bride
3,bride,1.58496,3,1,0.333333,bride
2,tined,4.38699,117,5,0,brief
3,brief,2.32193,5,1,0.2,brief
2,pudic,4.0055,39,7,0,brine
3,tribe,2.80735,7,1,0.142857,brine
4,brine,2.80735,1,1,0.142857,brine
2,glint,4.65581,57,2,0,bring
3,bring,1,2,1,0.5,bring
2,glint,4.65581,57,3,0,brink
3,brink,1.58496,3,1,0.333333,brink
2,glint,4.65581,57,3,0,briny
3,brink,1.58496,3,1,0.333333,briny
4,briny,1.58496,1,1,0.333333,briny
2,cruft,3.75,16,2,0,brisk
3,brisk,1,2,1,0.5,brisk
2,maron,3.65823,27,2,0,broad
3,broad,1,2,1,0.5,broad
2,cutin,4.05978,59,1,0,broil
3,broil,4.05978,1,1,0,broil
2,pownd,2.80735,14,4,0,broke
3,abaft,2,4,1,0,broke
4,broke,2,1,1,0,broke
2,cutin,4.05978,59,12,0,brood
